created_on,Consumption,Status
2022-04-17 16:58:45+00:00,13,Normal
2022-04-17 17:03:45+00:00,25,Normal
2022-04-17 17:10:47+00:00,24,Normal
2022-04-17 17:13:43+00:00,0,Normal
2022-04-17 17:18:42+00:00,84,Normal
2022-04-17 17:23:41+00:00,0,Normal
2022-04-17 17:28:42+00:00,0,Normal
2022-04-17 17:33:41+00:00,4,Normal
2022-04-17 17:40:45+00:00,60,Normal
2022-04-17 17:43:41+00:00,45,Normal
2022-04-17 17:48:42+00:00,43,Normal
2022-04-17 17:53:40+00:00,7,Normal
2022-04-17 17:58:43+00:00,16,Normal
2022-04-17 18:03:42+00:00,25,Normal
2022-04-17 18:10:45+00:00,737,Normal
2022-04-17 18:13:41+00:00,319,Normal
2022-04-17 18:18:41+00:00,543,Normal
2022-04-17 18:23:41+00:00,542,Normal
2022-04-17 18:28:43+00:00,531,Normal
2022-04-17 18:33:41+00:00,538,Normal
2022-04-17 18:40:45+00:00,764,Normal
2022-04-17 18:43:42+00:00,316,Normal
2022-04-17 18:48:41+00:00,539,Normal
2022-04-17 18:53:40+00:00,537,Normal
2022-04-17 18:58:41+00:00,354,Normal
2022-04-17 19:03:43+00:00,26,Normal
2022-04-17 19:10:45+00:00,19,Normal
2022-04-17 19:13:41+00:00,17,Normal
2022-04-17 19:18:43+00:00,0,Normal
2022-04-17 19:23:41+00:00,258,Normal
2022-04-17 19:28:41+00:00,13,Normal
2022-04-17 19:33:43+00:00,3,Normal
2022-04-17 19:40:47+00:00,85,Normal
2022-04-17 19:43:42+00:00,7,Normal
2022-04-17 19:48:42+00:00,16,Normal
2022-04-17 19:53:41+00:00,17,Normal
2022-04-17 19:58:46+00:00,2,Normal
2022-04-17 20:03:41+00:00,3,Normal
2022-04-17 20:10:45+00:00,16,Normal
2022-04-17 20:13:42+00:00,0,Normal
2022-04-17 20:18:41+00:00,0,Normal
2022-04-17 20:23:42+00:00,0,Normal
2022-04-17 20:28:41+00:00,279,Normal
2022-04-17 20:33:44+00:00,539,Normal
2022-04-17 20:40:45+00:00,759,Normal
2022-04-17 20:43:41+00:00,316,Normal
2022-04-17 20:48:41+00:00,539,Normal
2022-04-17 20:53:41+00:00,538,Normal
2022-04-17 20:58:41+00:00,171,Normal
2022-04-17 21:03:41+00:00,0,Normal
2022-04-17 21:10:46+00:00,93,Normal
2022-04-17 21:13:42+00:00,0,Normal
2022-04-17 21:18:41+00:00,35,Normal
2022-04-17 21:23:41+00:00,41,Normal
2022-04-17 21:28:42+00:00,11,Normal
2022-04-17 21:33:41+00:00,4,Normal
2022-04-17 21:40:45+00:00,51,Normal
2022-04-17 21:43:43+00:00,7,Normal
2022-04-17 21:48:41+00:00,0,Normal
2022-04-17 21:53:44+00:00,12,Normal
2022-04-17 21:58:44+00:00,0,Normal
2022-04-17 22:03:42+00:00,3,Normal
2022-04-17 22:10:46+00:00,118,Normal
2022-04-17 22:13:43+00:00,0,Normal
2022-04-17 22:18:43+00:00,0,Normal
2022-04-17 22:23:45+00:00,0,Normal
2022-04-17 22:28:40+00:00,130,Normal
2022-04-17 22:33:42+00:00,471,Normal
2022-04-17 22:40:45+00:00,744,Normal
2022-04-17 22:43:42+00:00,312,Normal
2022-04-17 22:48:42+00:00,539,Normal
2022-04-17 22:53:41+00:00,532,Normal
2022-04-17 22:58:42+00:00,494,Normal
2022-04-17 23:03:42+00:00,487,Normal
2022-04-17 23:10:46+00:00,741,Normal
2022-04-17 23:13:41+00:00,304,Normal
2022-04-17 23:18:41+00:00,520,Normal
2022-04-17 23:23:41+00:00,527,Normal
2022-04-17 23:28:42+00:00,538,Normal
2022-04-17 23:33:41+00:00,534,Normal
2022-04-17 23:40:45+00:00,655,Normal
2022-04-17 23:43:41+00:00,311,Normal
2022-04-17 23:48:41+00:00,143,Normal
2022-04-17 23:53:41+00:00,17,Normal
2022-04-17 23:58:41+00:00,19,Normal
2022-04-18 00:03:42+00:00,78,Normal
2022-04-18 00:10:45+00:00,11,Normal
2022-04-18 00:13:42+00:00,2,Normal
2022-04-18 00:18:41+00:00,37,Normal
2022-04-18 00:23:41+00:00,253,Normal
2022-04-18 00:28:41+00:00,0,Normal
2022-04-18 00:33:42+00:00,15,Normal
2022-04-18 00:40:45+00:00,0,Normal
2022-04-18 00:43:42+00:00,0,Normal
2022-04-18 00:48:41+00:00,3,Normal
2022-04-18 00:53:42+00:00,0,Normal
2022-04-18 00:58:42+00:00,0,Normal
2022-04-18 01:03:41+00:00,23,Normal
2022-04-18 01:10:45+00:00,56,Normal
2022-04-18 01:13:42+00:00,26,Normal
2022-04-18 01:18:41+00:00,3,Normal
2022-04-18 01:23:41+00:00,40,Normal
2022-04-18 01:28:41+00:00,0,Normal
2022-04-18 01:33:41+00:00,15,Normal
2022-04-18 01:40:44+00:00,135,Normal
2022-04-18 01:43:42+00:00,0,Normal
2022-04-18 01:48:41+00:00,10,Normal
2022-04-18 01:53:42+00:00,0,Normal
2022-04-18 01:58:41+00:00,0,Normal
2022-04-18 02:03:42+00:00,4,Normal
2022-04-18 02:10:45+00:00,39,Normal
2022-04-18 02:13:41+00:00,0,Normal
2022-04-18 02:18:42+00:00,0,Normal
2022-04-18 02:23:41+00:00,11,Normal
